date,TotalFareAmount,TotalTipAmount
1/1/2015 0:00,338327.63,36374.71
1/1/2015 1:00,400689.91,44430.35
1/1/2015 2:00,359378.89,41427.46
1/1/2015 3:00,311517.3,33819.89
1/1/2015 4:00,224432.91,22233.78
1/1/2015 5:00,122658.58,10856.21
1/1/2015 6:00,85054.76,7213.01
1/1/2015 7:00,72015.83,6406.23
1/1/2015 8:00,62724.68,5731.16
1/1/2015 9:00,73401.43,6436.45
1/1/2015 10:00,98928.02,8791.53
1/1/2015 11:00,133600.56,12520.87
1/1/2015 12:00,161158.02,15286.52
1/1/2015 13:00,171478.17,16134.93
1/1/2015 14:00,179712.39,16483.46
1/1/2015 15:00,182307.34,16675.79
1/1/2015 16:00,166144.26,15203.6
1/1/2015 17:00,176036.31,15945.5
1/1/2015 18:00,177965.61,16860.84
1/1/2015 19:00,163256.04,16039.9
1/1/2015 20:00,153009,15846.78
1/1/2015 21:00,150388.29,15567.56
1/1/2015 22:00,145687.25,15631.21
1/1/2015 23:00,126938.21,13458.91
1/2/2015 0:00,105733.4,11285.7
1/2/2015 1:00,70928.76,7334.69
1/2/2015 2:00,46867.2,4493.08
1/2/2015 3:00,35759.11,3400.98
1/2/2015 4:00,32630.44,2746.68
1/2/2015 5:00,32364.44,3118.95
1/2/2015 6:00,55965.97,5743.76
1/2/2015 7:00,76926.52,8665.68
1/2/2015 8:00,103942.42,12346.71
1/2/2015 9:00,126556.31,12929.65
1/2/2015 10:00,146044.85,13202.13
1/2/2015 11:00,164283.46,14815.58
1/2/2015 12:00,186075.38,17090.74
1/2/2015 13:00,186862.29,17180.06
1/2/2015 14:00,202269.44,18404.75
1/2/2015 15:00,205675.84,18658.63
1/2/2015 16:00,185372.6,18566.15
1/2/2015 17:00,213275.76,21806.76
1/2/2015 18:00,231712.22,24910.49
1/2/2015 19:00,238223.23,26447.92
1/2/2015 20:00,209521.55,23124.66
1/2/2015 21:00,204074.08,22498.59
1/2/2015 22:00,227774.35,25682.24
1/2/2015 23:00,229965.71,26553.94
1/3/2015 0:00,215759.94,25352.91
1/3/2015 1:00,186967.08,22966.18
1/3/2015 2:00,156129.24,18568.61
1/3/2015 3:00,127973.09,14630.02
1/3/2015 4:00,89886.81,8757.4
1/3/2015 5:00,47163,4245.61
1/3/2015 6:00,50692.9,4712.94
1/3/2015 7:00,56155.88,5543.93
1/3/2015 8:00,80266.41,8027.5
1/3/2015 9:00,111037.73,10994.25
1/3/2015 10:00,140455.63,13552.19
1/3/2015 11:00,171049.2,16959.28
1/3/2015 12:00,205227.03,20491.35
1/3/2015 13:00,229947.36,22301.22
1/3/2015 14:00,232044.02,23482.93
1/3/2015 15:00,222854.23,22223.62
1/3/2015 16:00,196003.77,20057.55
1/3/2015 17:00,215483.48,22206.9
1/3/2015 18:00,242650.71,26006.46
1/3/2015 19:00,255342.17,27092.15
1/3/2015 20:00,201984.12,23563.92
1/3/2015 21:00,212053.07,24597.67
1/3/2015 22:00,231959.74,27413.49
1/3/2015 23:00,245349.74,29800.15
1/4/2015 0:00,227166.36,27848.03
1/4/2015 1:00,199713.15,24862.77
1/4/2015 2:00,155948.2,19202.73
1/4/2015 3:00,118810.72,13913.75
1/4/2015 4:00,82597.07,8194.8
1/4/2015 5:00,45829,4042.14
1/4/2015 6:00,47989.52,4725.03
1/4/2015 7:00,52558.32,5367.4
1/4/2015 8:00,71733.95,7498.06
1/4/2015 9:00,95294.34,10260.97
1/4/2015 10:00,134328.8,14270.37
1/4/2015 11:00,154105.19,16458.33
1/4/2015 12:00,170514.55,18457.66
1/4/2015 13:00,178935.63,19668.42
1/4/2015 14:00,185810.67,20302.89
1/4/2015 15:00,179141.94,19736.32
1/4/2015 16:00,177729.08,20066.92
1/4/2015 17:00,183083.64,20427.65
1/4/2015 18:00,184487.75,21202.03
1/4/2015 19:00,182852.54,20627.5
1/4/2015 20:00,175106.92,20930.51
1/4/2015 21:00,151405.41,18294.18
1/4/2015 22:00,142941.44,16966
1/4/2015 23:00,127964.84,14248.75
1/5/2015 0:00,102091.69,11378.12
1/5/2015 1:00,64396.41,6928.95
1/5/2015 2:00,41874.61,3945.29
1/5/2015 3:00,26445.64,2245.44
1/5/2015 4:00,28748.16,2619.08
1/5/2015 5:00,43085.8,4983.81
1/5/2015 6:00,104642.01,12436.37
1/5/2015 7:00,185820.14,22504.99
1/5/2015 8:00,220951.9,27704.31
1/5/2015 9:00,188770.76,22687.9
1/5/2015 10:00,154271.93,16819.28
1/5/2015 11:00,154352.01,15910.78
1/5/2015 12:00,159547.1,16226.3
1/5/2015 13:00,162626.72,16462
1/5/2015 14:00,178539.03,18575.01
1/5/2015 15:00,189040.84,19156.68
1/5/2015 16:00,166164.63,18380.09
1/5/2015 17:00,208252.53,24958.21
1/5/2015 18:00,249215.1,32630.64
1/5/2015 19:00,243187.97,33044.87
1/5/2015 20:00,218187.19,29160.25
1/5/2015 21:00,206196.38,27877.97
1/5/2015 22:00,176959.68,23686.01
1/5/2015 23:00,145408.1,18713.36
1/6/2015 0:00,105353.13,12558.5
1/6/2015 1:00,62484.63,6740.06
1/6/2015 2:00,39380.08,3864.2
1/6/2015 3:00,24566.5,2426.5
1/6/2015 4:00,26373.6,2214.66
1/6/2015 5:00,41788.65,4717.78
1/6/2015 6:00,105707.05,12559.24
1/6/2015 7:00,190645.16,23421.25
1/6/2015 8:00,247804.92,32195.76
1/6/2015 9:00,226601.22,28877.46
1/6/2015 10:00,188806.27,21934.76
1/6/2015 11:00,182662.69,20343.01
1/6/2015 12:00,181218.49,20335.05
1/6/2015 13:00,170822.61,19133.55
1/6/2015 14:00,188495.54,20865.07
